reputacao_artista,altura,largura,peso,preco_escultura,preco_base_envio,diferenca_dias_entrega,data_agendada_dias,data_agendada_mes,data_agendada_ano,data_entrega_dias,data_entrega_mes,data_entrega_ano,internacional_Sim,envio_expresso_Sim,instalacao_incluida_Sim,fragil_Sim,pedido_extra_cliente_Sim,localizacao_remota_Sim,material_Argila,material_Bronze,material_Latão,material_Madeira,material_Mármore,material_Não especificado,material_Pedra,transporte_Aéreo,transporte_Não especificado,transporte_Rodoviário,custo
0.67,4.2672,2.1336,116.573144,16.17,64.05,-4,23,2,2023,19,2,2023,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,1418.823186663359
0.84,9.7536,3.3528,112.037224,24.57,124.53,-4,3,1,2023,30,12,2022,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,4160.40340875
0.2,9.144,2.4384,603.27736,28.455,116.4975,1,4,11,2022,5,11,2022,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,1011.68809369758
0.47,5.1816,2.4384,171.911368,24.4125,128.31,-1,24,7,2023,23,7,2023,True,True,True,True,True,False,True,False,False,False,False,False,False,True,False,False,1831.9012661807737
0.41,2.7432000000000003,1.2192,303.453048,26.6175,86.94,3,1,11,2020,4,11,2020,True,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,1020.0542361852179
0.44,3.9624,1.8288,124.7378,27.195,53.025,-3,10,5,2021,7,5,2021,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,956.1944568133124
0.31,3.048,1.2192,171.911368,21.1575,64.26,-1,6,11,2022,5,11,2022,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,True,856.3486434822725
0.49,5.1816,1.8288,183.70476,36.015,71.39999999999999,2,19,3,2023,21,3,2023,True,True,False,False,True,True,False,False,False,False,False,False,False,True,False,False,1215.6770457272908
0.45,6.4008,2.1336,133.80964,15.9075,69.8775,-4,23,2,2020,19,2,2020,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,1196.1304283111144
0.73,2.4384,1.2192,1431.536352,22.4175,103.2675,4,2,7,2023,6,7,2023,True,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,1831.7686969340552
0.77,8.8392,3.048,118.387512,34.4925,88.9875,-1,16,2,2020,15,2,2020,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,2817.595187677432
0.16,3.6576,2.4384,908.544776,23.4675,90.8775,1,15,5,2022,16,5,2022,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,True,865.3227937733199
0.77,0.9144,0.6096,34.926584,18.9,55.0725,3,30,9,2019,3,10,2019,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,1275.7618551615844
0.07,2.7432000000000003,1.2192,310.71052,26.355,120.9075,0,16,8,2021,16,8,2021,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,901.4581726104298
0.26,3.9624,1.8288,67.585208,28.2975,71.715,0,8,9,2020,8,9,2020,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,833.3085232468713
0.88,2.1336,1.524,22.6796,24.0975,80.01,1,24,11,2020,25,11,2020,False,True,True,False,True,True,False,False,False,True,False,False,False,True,False,False,1450.9749314521277
0.46,6.096,2.1336,389.635528,30.1875,115.605,-1,9,5,2020,8,5,2020,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1795.2388524639575
0.64,5.486400000000001,2.7432000000000003,442.705792,22.89,81.0075,0,17,4,2023,17,4,2023,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,1713.8756206768649
0.39,5.1816,1.8288,165.107488,19.1625,90.9825,0,9,9,2021,9,9,2021,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,1071.7276696466852
0.0,3.6576,2.4384,194.137376,17.325,97.8075,-4,29,5,2021,25,5,2021,False,True,False,True,False,True,True,False,False,False,False,False,False,False,False,True,840.567924055807
0.37,7.62,1.8288,147.870992,31.9725,56.0175,-3,16,1,2023,13,1,2023,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,904.1341926487818
0.12,4.572,2.1336,418.665416,19.32,58.3275,3,20,7,2021,23,7,2021,True,True,True,True,True,False,True,False,False,False,False,False,False,True,False,False,738.1955868138579
0.64,4.8768,1.8288,205.023584,30.345,94.5525,1,21,8,2020,22,8,2020,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,1608.7979242244335
0.3,0.9144,0.6096,14.061352,25.7775,115.8675,-3,7,2,2022,4,2,2022,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,True,1020.5925689953899
0.93,1.2192,0.9144,34.0194,17.2725,76.965,-1,26,5,2022,25,5,2022,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,1458.1759675641026
0.87,5.7912,4.572,273.969568,36.2775,96.0225,-1,19,1,2019,18,1,2019,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,3323.3262849621206
0.56,6.7056,1.8288,298.917128,29.4525,93.3975,0,14,8,2020,14,8,2020,False,True,False,False,True,True,False,False,False,False,False,False,False,True,False,False,1687.9700506365289
0.28,5.7912,3.3528,449.509672,17.01,117.18,0,9,5,2021,9,5,2021,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,1088.1592888444648
0.52,10.9728,2.4384,889.947504,49.35,52.5,1,10,12,2019,11,12,2019,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1547.1036564291956
0.47,8.2296,3.048,204.569992,30.03,99.4875,-1,9,12,2021,8,12,2021,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,1743.0791861067532
0.9,3.048,1.524,397.346592,30.66,97.965,2,24,12,2022,26,12,2022,False,True,True,False,True,False,False,True,False,False,False,False,False,True,False,False,2156.078327428629
0.74,2.7432000000000003,1.2192,43.998424,18.7425,53.9175,0,6,7,2021,6,7,2021,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,1303.8345148514322
0.38,5.7912,1.8288,472.642864,33.3375,58.6425,2,6,9,2021,8,9,2021,True,False,True,True,True,True,True,False,False,False,False,False,False,True,False,False,1069.6208859922485
0.02,5.1816,1.8288,214.095424,16.4325,117.495,3,17,1,2019,20,1,2019,False,True,False,True,False,True,True,False,False,False,False,False,False,False,False,True,859.460346635089
0.14,9.7536,3.048,1331.29252,22.365,66.7275,0,23,3,2023,23,3,2023,True,True,True,True,True,False,True,False,False,False,False,False,False,True,False,False,934.7438594681047
0.99,1.2192,1.2192,84.821704,33.495,72.1875,2,16,5,2022,18,5,2022,False,False,True,False,True,True,False,False,True,False,False,False,False,False,False,True,1844.5042777728647
0.38,5.7912,2.7432000000000003,104.32616,28.9275,110.67,-1,27,4,2019,26,4,2019,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,False,1247.4379682249769
0.53,9.7536,3.6576,267.165688,33.4425,114.345,-1,8,5,2022,7,5,2022,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,2049.2429488030307
0.26,12.4968,3.048,256.733072,16.537499999999998,107.205,-2,12,12,2022,10,12,2022,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,1081.6209710173675
0.17,4.8768,1.8288,345.183512,34.44,96.2325,-4,13,9,2021,9,9,2021,False,True,True,True,True,False,True,False,False,False,False,False,False,True,False,False,965.5508363251611
0.44,3.3528,1.8288,546.124768,29.7675,90.405,3,12,6,2020,15,6,2020,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,1139.620785480818
0.2,4.8768,2.4384,252.197152,26.775,84.1575,-3,5,5,2019,2,5,2019,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,826.9928468265341
0.46,4.2672,1.8288,106.59412,33.6525,69.93,-2,19,4,2023,17,4,2023,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,1060.3688581136241
0.62,3.6576,2.4384,499.404792,20.16,117.0225,-3,21,9,2020,18,9,2020,False,True,True,True,True,False,True,False,False,False,False,False,False,False,False,True,1935.248707222964
0.33,7.010400000000001,1.8288,254.918704,16.38,54.127500000000005,-2,12,5,2023,10,5,2023,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,851.9820476849053
0.57,4.2672,2.4384,79.83219199999999,17.1675,84.4725,4,23,2,2023,27,2,2023,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,1309.7101567295267
0.42,0.9144,0.9144,9.525432,36.6975,94.2375,-4,23,6,2020,19,6,2020,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,True,1039.692173372966
0.5,3.9624,2.1336,83.91452,34.23,95.55,4,9,1,2023,13,1,2023,False,False,False,False,True,True,False,False,False,True,False,False,False,True,False,False,1257.017100436677
0.54,1.8288,1.524,261.722584,29.4525,84.05250000000001,-2,19,8,2022,17,8,2022,False,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False,1418.7265186914096
0.42,6.4008,2.1336,145.60303199999998,22.785,59.0625,-1,10,3,2022,9,3,2022,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,True,940.4271828123373
0.16,5.1816,1.8288,100.697424,26.9325,75.60000000000001,-1,30,3,2019,29,3,2019,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,696.3806576486073
0.84,1.2192,0.9144,39.008912,30.2925,63.21,0,23,7,2020,23,7,2020,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,1394.34196708721
0.89,8.2296,2.4384,303.90664,34.0725,81.7425,4,7,3,2023,11,3,2023,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,3727.874177708334
0.33,3.048,1.524,382.831648,36.1725,111.3,3,1,10,2021,4,10,2021,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,1044.572988222294
0.5,1.8288,1.2192,77.564232,27.195,104.7375,0,16,4,2019,16,4,2019,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,1242.8711433219983
0.3,6.096,1.8288,98.883056,33.495,103.005,0,15,6,2019,15,6,2019,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,974.0607528876513
0.58,0.9144,0.6096,38.101728,16.38,90.825,3,19,10,2019,22,10,2019,True,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,1148.9670422887111
0.16,3.048,1.2192,292.56684,17.43,102.585,-2,17,10,2021,15,10,2021,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,918.9232352809695
0.68,8.8392,2.1336,558.371752,16.17,121.1175,-1,11,4,2019,10,4,2019,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,3081.9436446958534
0.63,1.2192,1.2192,31.297848,25.1475,94.29,-4,11,5,2020,7,5,2020,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,1241.257053689663
0.72,3.048,1.2192,171.004184,17.6925,104.79,-3,29,9,2022,26,9,2022,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,1733.0714860040719
0.38,6.096,1.8288,450.416856,16.065,114.7125,-4,23,7,2023,19,7,2023,False,False,True,True,True,True,True,False,False,False,False,False,False,False,False,True,1507.0197026021945
0.96,8.2296,1.8288,1883.767576,30.87,116.34,4,24,2,2019,28,2,2019,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,5558.23615257576
0.09,3.6576,2.1336,1156.6596,27.195,79.905,-4,23,11,2020,19,11,2020,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,870.848659151224
0.63,4.572,2.4384,231.33192,17.9025,52.9725,3,8,8,2021,11,8,2021,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,1340.8113553523622
0.88,7.010400000000001,2.1336,405.96484,18.8475,108.3075,4,14,8,2019,18,8,2019,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,3042.785175452054
0.87,4.2672,2.1336,225.888816,27.2475,122.5875,-1,25,8,2019,24,8,2019,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,2630.2795984032646
0.47,6.4008,3.6576,357.884088,24.9375,69.6675,-2,15,6,2022,13,6,2022,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1544.2205860191712
0.53,5.1816,2.1336,248.568416,30.03,121.59,-4,26,2,2023,22,2,2023,False,False,True,True,True,False,True,False,False,False,False,False,False,False,False,True,1880.7443144351605
0.56,0.9144,0.6096,30.390664,32.655,101.1675,-4,10,9,2021,6,9,2021,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,1226.5413098515226
0.36,7.010400000000001,2.1336,108.408488,28.035,63.525,0,19,11,2021,19,11,2021,True,True,True,False,True,False,False,False,False,True,False,False,False,True,False,False,884.1525291012111
0.66,3.048,1.2192,549.299912,48.615,86.835,4,20,3,2020,24,3,2020,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,True,1443.97508015625
0.21,3.3528,2.4384,253.104336,23.1525,117.075,3,2,1,2021,5,1,2021,False,False,True,True,True,False,True,False,False,False,False,False,False,False,False,True,966.816913087042
0.62,2.1336,1.524,39.008912,28.8225,92.925,3,13,11,2022,16,11,2022,False,True,False,True,True,False,True,False,False,False,False,False,False,False,False,True,1267.9484272832744
0.07,2.1336,1.524,17.690088,32.865,115.92,-4,4,5,2021,30,4,2021,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,807.7311634650645
0.41,1.524,0.9144,294.381208,22.5225,57.015,3,18,10,2020,21,10,2020,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,905.2983095580147
0.1,1.524,0.9144,9.525432,34.965,69.72,3,3,3,2023,6,3,2023,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True,642.3224524855067
0.82,1.524,1.524,27.21552,36.645,95.76,-1,30,1,2019,29,1,2019,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,1430.0025354642712
0.33,3.6576,1.8288,443.159384,25.41,100.2225,3,12,11,2021,15,11,2021,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,1055.743733846194
0.26,6.096,3.9624,217.72416,35.805,105.525,1,4,7,2020,5,7,2020,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,1026.2588149366543
0.2,0.9144,0.6096,17.690088,36.435,102.7425,1,29,9,2021,30,9,2021,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,True,920.4123221452821
0.19,8.5344,2.4384,488.972176,16.7475,122.85,1,17,1,2020,18,1,2020,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,984.3847645942584
0.04,2.1336,1.2192,127.912944,30.2925,73.3425,4,3,9,2019,7,9,2019,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,654.1936654136374
0.05,5.1816,3.3528,114.305184,19.8975,90.195,4,4,12,2021,8,12,2021,True,False,True,False,True,True,False,False,False,True,False,False,False,False,False,False,708.2299580551554
0.38,2.7432000000000003,1.2192,207.291544,32.4975,58.2225,-4,1,7,2021,27,6,2021,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,942.8344396590255
0.39,2.7432000000000003,1.524,259.454624,18.165,70.665,-4,13,5,2022,9,5,2022,True,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,1006.837850555218
0.96,3.6576,2.1336,213.641832,27.3525,86.4675,0,5,5,2021,5,5,2021,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,2435.7347555273896
0.32,4.2672,2.1336,746.612432,27.8775,118.545,-2,24,7,2020,22,7,2020,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,1369.1794989535795
0.89,8.2296,3.9624,256.733072,21.105,62.2125,0,14,12,2022,14,12,2022,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,3418.909855227273
0.52,0.9144,0.9144,28.576296,22.26,78.75,0,19,5,2020,19,5,2020,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,979.2155957103797
0.75,1.524,1.2192,8.618248,29.6625,60.06,2,17,2,2019,19,2,2019,True,True,True,False,False,False,False,False,False,True,False,False,False,True,False,False,1209.7913995296426
0.89,6.7056,3.048,208.65232,21.3675,86.52,1,22,12,2022,23,12,2022,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,False,2984.859847078965
0.4,9.4488,3.6576,828.712584,28.245,57.5925,0,3,6,2020,3,6,2020,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1250.389878744621
0.27,6.7056,3.6576,521.177208,30.765,103.7925,-4,22,9,2020,18,9,2020,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,1146.7060591565285
0.31,6.096,2.1336,112.490816,26.775,92.9775,-1,29,12,2021,28,12,2021,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,955.6204879951729
0.1,8.2296,2.7432000000000003,63.50288,30.9225,76.1775,-1,7,3,2022,6,3,2022,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,662.6339641977709
0.27,1.2192,0.9144,3.175144,30.2925,92.3475,0,5,2,2023,5,2,2023,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,899.5028780831026
0.13,2.7432000000000003,1.524,384.192424,19.4775,100.1175,0,4,10,2022,4,10,2022,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,948.2263826908588
0.52,3.3528,1.8288,979.75872,43.7325,120.645,0,13,6,2023,13,6,2023,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,1505.6542512532014
0.3,3.048,1.524,520.270024,15.9075,104.475,-2,4,6,2021,2,6,2021,False,False,True,False,True,True,False,False,True,False,False,False,False,False,False,False,1173.709588095992
0.94,1.2192,0.9144,53.523856,16.065,96.4425,2,13,4,2021,15,4,2021,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,1579.2862595929387
0.33,2.1336,1.2192,1601.17976,35.7,70.245,-1,17,9,2022,16,9,2022,True,False,True,False,True,False,False,False,False,False,False,False,True,True,False,False,1200.8753280719116
0.31,9.7536,2.4384,800.58988,34.0725,85.05,1,13,6,2023,14,6,2023,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,True,1017.6588412369072
0.61,6.7056,3.9624,210.466688,30.975,124.005,3,1,3,2020,4,3,2020,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,2406.002661098484
0.9,1.8288,1.2192,76.203456,22.6275,129.7275,2,4,12,2021,6,12,2021,True,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,1845.843158437543
0.14,4.2672,2.4384,1169.360176,16.6425,82.2675,-2,22,5,2019,20,5,2019,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,1030.9105354412213
0.24,5.7912,3.6576,341.554776,31.815,91.665,-2,10,2,2020,8,2,2020,False,True,True,False,True,True,False,False,False,False,False,False,False,True,False,False,1004.2124305484648
0.4,3.6576,2.1336,215.909792,33.39,93.975,2,23,2,2023,25,2,2023,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False,True,1131.769395080615
0.2,0.9144,0.6096,14.514944,34.23,54.6,-3,5,4,2023,2,4,2023,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,719.8271902235297
0.83,5.486400000000001,2.1336,441.345016,16.065,108.675,2,28,4,2022,30,4,2022,False,True,False,True,True,False,True,False,False,False,False,False,False,True,False,False,2856.2874129676575
0.28,1.8288,1.524,1084.538472,20.0025,53.235,0,19,12,2019,19,12,2019,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,980.8436626979752
0.52,5.7912,2.7432000000000003,853.660144,50.085,65.9925,-2,19,7,2019,17,7,2019,False,False,True,True,True,False,True,False,False,False,False,False,False,False,False,True,1533.654151642762
0.32,9.144,3.9624,962.975816,27.0375,126.42,-1,14,5,2021,13,5,2021,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,1413.6260950048422
0.87,9.7536,4.572,672.676936,31.4475,125.4225,4,26,10,2022,30,10,2022,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,4443.945376875
0.23,6.096,2.1336,1930.03396,25.41,103.0575,2,7,8,2023,9,8,2023,False,False,True,False,True,True,False,False,True,False,False,False,False,False,False,True,1245.6755285581412
0.81,2.4384,1.524,21.318824,22.8375,92.6625,0,25,5,2021,25,5,2021,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,1391.9402870670303
0.52,2.1336,1.2192,103.418976,35.07,109.2,1,14,7,2023,15,7,2023,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,1259.5793364053181
0.03,1.524,1.2192,13.154168,33.2325,59.01,-1,5,5,2023,4,5,2023,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,631.3324259685525
0.12,2.7432000000000003,1.524,347.905064,19.005,74.02499999999999,1,22,4,2023,23,4,2023,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,699.5916273644287
0.91,1.2192,1.2192,68.0388,30.24,65.73,-4,11,3,2021,7,3,2021,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,1746.0982274143605
0.28,0.9144,0.9144,14.968536,26.775,58.9575,-4,9,1,2023,5,1,2023,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,827.2011926247386
0.26,4.2672,2.1336,239.496576,20.265,89.88000000000001,4,19,4,2022,23,4,2022,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,True,957.3214259455117
0.93,5.1816,2.4384,90.264808,25.7775,53.9175,-4,29,12,2020,25,12,2020,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,2156.9474947266194
0.3,0.9144,0.9144,125.644984,28.56,78.12,-4,5,10,2021,1,10,2021,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,971.7892175491783
0.56,2.7432000000000003,1.524,246.300456,31.5525,123.69,4,8,7,2023,12,7,2023,True,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,1391.8612781555298
0.69,2.1336,1.2192,146.963808,26.7225,127.8375,-3,7,5,2019,4,5,2019,True,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,1739.2908133111466
0.36,9.144,4.2672,201.84844,24.15,122.9025,0,27,4,2020,27,4,2020,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,True,1266.6508007831974
0.23,5.1816,2.1336,46.719976,25.935,57.540000000000006,1,23,5,2019,24,5,2019,True,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,711.5675298951336
0.48,6.7056,3.6576,515.280512,19.1625,108.9375,-3,24,2,2019,21,2,2019,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,1797.6234907435899
0.92,1.2192,1.2192,78.471416,26.8275,85.94250000000001,-2,4,3,2019,2,3,2019,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,1840.8429091553276
0.51,5.1816,3.048,902.64808,38.5875,105.7875,1,27,3,2020,28,3,2020,True,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,1642.9317024025122
0.06,7.010400000000001,2.7432000000000003,97.52228,21.3675,108.045,-4,16,8,2019,12,8,2019,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,842.4753213439591
0.29,5.486400000000001,4.2672,531.609824,20.475,115.5525,-2,28,10,2020,26,10,2020,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,1271.6378053407639
0.56,4.572,2.1336,85.275296,21.7875,78.6975,1,15,5,2019,16,5,2019,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,1224.302117953241
0.73,7.62,1.8288,1886.489128,44.4675,74.655,-1,10,6,2022,9,6,2022,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,2377.225846436652
0.3,4.2672,2.4384,1654.703616,40.3725,73.815,-4,5,7,2019,1,7,2019,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,True,1101.2883162661728
0.32,1.8288,1.2192,81.64656,22.9425,119.2275,-4,4,9,2020,31,8,2020,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,1079.6615026263985
0.35,1.524,0.9144,10.432616,26.5125,121.5375,-1,6,11,2022,5,11,2022,False,False,True,False,True,True,False,False,False,True,False,False,False,False,False,True,1062.0452741446504
0.59,8.2296,4.572,1172.53532,35.175000000000004,108.0975,3,28,5,2019,31,5,2019,True,False,False,True,True,False,True,False,False,False,False,False,False,True,False,False,2348.7081712124277
0.61,3.9624,2.4384,415.03668,36.5925,101.6925,-3,19,8,2023,16,8,2023,True,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,1779.0481887191377
0.24,4.2672,2.4384,2053.410984,30.135,118.125,2,25,9,2021,27,9,2021,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,1226.5487892604083
0.56,0.9144,0.6096,19.504456,35.7525,120.2775,4,14,5,2021,18,5,2021,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,1211.144435020812
0.43,1.524,1.524,53.070264,20.37,107.6775,-4,5,5,2020,1,5,2020,False,True,True,True,True,False,True,False,False,False,False,False,False,True,False,False,1139.9511543308063
0.04,6.7056,3.6576,421.386968,21.5775,93.135,2,17,5,2019,19,5,2019,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,True,749.4607062557543
0.21,1.8288,1.524,27.21552,18.06,123.9525,-1,14,1,2021,13,1,2021,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,953.404492734168
0.17,9.144,3.6576,906.730408,32.13,80.01,-2,10,3,2021,8,3,2021,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,866.1796326230254
0.74,10.9728,2.1336,90.264808,20.685,79.53750000000001,-1,4,8,2020,3,8,2020,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,2527.600204583334
